Parameters,Total Reward,Total Profit
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",11.139503479003906,0.5443251306248643
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",13.924068450927734,0.0793273981457255
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.95, 0.1)",0.0,1.0
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.95, 0.0001)",36.262027740478516,0.10265086052793541
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",36.14018249511719,0.1186794761673926
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",46.29951095581055,0.14027607911731108
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",57.54627990722656,0.17589629662200476
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(20000, 200, 1, 32, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",49.55531692504883,0.18070221804872666
"(20000, 200, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",71.35474014282227,0.1745387191152351
"(20000, 200, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,1.0
"(20000, 200, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",52.7470588684082,0.10647836224558757
"(20000, 200, 1, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",48.278831481933594,0.1076688706281128
